timediff_ms,proto,srcIP,srcPort,dstIP,dstPort
2032,6,172.16.133.53,53773,96.43.146.22,443
2032,6,172.16.133.53,53774,96.43.146.22,443
2034,17,172.16.133.23,52853,239.255.255.250,1900
2034,17,172.16.133.39,55445,67.217.78.36,1853
2039,17,172.16.133.85,51035,68.64.29.28,1853
2041,6,172.16.133.25,62051,68.49.25.49,55165
2046,17,172.16.133.60,63861,68.64.21.41,1853
2050,6,172.16.133.78,55438,71.234.178.21,33052
2057,17,172.16.133.207,50477,68.64.21.45,1853
2068,6,172.16.133.53,53777,96.43.146.22,443
2077,17,172.16.133.67,56707,68.64.21.46,1853
2085,6,172.16.133.53,53779,96.43.146.22,443
2088,6,172.16.133.53,53780,96.43.146.22,443
2088,6,172.16.133.53,53778,96.43.146.22,443
2090,17,172.16.133.92,64264,68.64.29.40,1853
2092,17,172.16.133.53,60838,68.64.21.40,1853
2094,17,172.16.133.36,62603,68.64.21.42,1853
2094,6,172.16.133.12,53371,96.43.146.176,443
2095,17,172.16.133.26,54654,68.64.21.37,1853
2098,6,172.16.133.12,53368,96.43.146.176,443
2100,6,172.16.133.132,38650,98.139.134.187,80
2101,6,172.16.133.103,63410,216.115.222.200,443
2107,6,172.16.133.42,56923,96.43.146.22,443
2108,6,172.16.133.41,52424,74.125.226.26,80
2114,17,172.16.133.6,51363,8.8.4.4,53
2123,17,172.16.133.114,49319,68.64.21.44,1853
2132,17,172.16.133.37,55363,68.64.21.36,1853
2134,6,172.16.133.78,62336,193.182.8.55,4070
2150,6,172.16.133.78,58388,216.246.75.64,80
2150,6,172.16.133.78,54982,72.80.185.137,13135
2154,6,172.16.133.67,64620,216.115.208.199,443
2160,6,172.16.133.78,58391,216.246.75.64,80
2160,6,172.16.133.78,58392,216.246.75.64,80
2170,6,172.16.133.75,58186,157.56.241.150,443
2172,6,172.16.133.207,49659,157.56.245.198,443
2212,6,172.16.133.103,63411,66.151.158.187,443
2217,6,172.16.133.57,60590,96.43.146.48,443
2219,6,172.16.133.103,63412,216.219.112.250,443
2233,6,172.16.133.57,59175,184.73.181.74,8080
2234,6,172.16.133.33,53878,96.43.146.176,443
2242,6,172.16.133.44,64675,216.52.242.80,80
